ARF5	ENST00000000233	ENSCAFT00000002708
M6PR	ENST00000000412	ENSCAFT00000090092
ESRRA	ENST00000000442	ENSCAFT00000022969
FKBP4	ENST00000001008	ENSCAFT00000024736
CYP26B1	ENST00000001146	ENSCAFT00000014311
NDUFAF7	ENST00000002125	ENSCAFT00000009871
FUCA2	ENST00000002165	ENSCAFT00000063667
DBNDD1	ENST00000002501	ENSCAFT00000031500
SEMA3F	ENST00000002829	ENSCAFT00000017215
CFTR	ENST00000003084	ENSCAFT00000005518
USP28	ENST00000003302	ENSCAFT00000021725
TMEM176A	ENST00000004103	ENSCAFT00000045768
HSPB6	ENST00000004982	ENSCAFT00000010947
PDK4	ENST00000005178	ENSCAFT00000003358
CCL26	ENST00000005180	ENSCAFT00000043418
RALA	ENST00000005257	ENSCAFT00000044047
BCAP29	ENST00000005259	ENSCAFT00000049909
BAIAP2L1	ENST00000005260	ENSCAFT00000068844
CACNG3	ENST00000005284	ENSCAFT00000068352
DVL2	ENST00000005340	ENSCAFT00000025527
RPAP3	ENST00000005386	ENSCAFT00000014669
IFRD1	ENST00000005558	ENSCAFT00000071308
PRSS21	ENST00000005995	ENSCAFT00000030755
HOXA11	ENST00000006015	ENSCAFT00000004754
CX3CL1	ENST00000006053	ENSCAFT00000013917
CD79B	ENST00000006750	ENSCAFT00000020113
RHBDD2	ENST00000006777	ENSCAFT00000021273
RPUSD1	ENST00000007264	ENSCAFT00000082925
TSR3	ENST00000007390	ENSCAFT00000031131
OSBPL7	ENST00000007414	ENSCAFT00000026566
YBX2	ENST00000007699	ENSCAFT00000087572
KRT33A	ENST00000007735	ENSCAFT00000025351
LRRC23	ENST00000007969	ENSCAFT00000023084
TFAP2D	ENST00000008391	ENSCAFT00000003384
CRY1	ENST00000008527	ENSCAFT00000002826
PGLYRP1	ENST00000008938	ENSCAFT00000042940
STARD3NL	ENST00000009041	ENSCAFT00000005863
CAMK1G	ENST00000009105	ENSCAFT00000018919
CD9	ENST00000009180	ENSCAFT00000079036
CD74	ENST00000009530	ENSCAFT00000076946
DYRK4	ENST00000010132	ENSCAFT00000024338
MGST1	ENST00000010404	ENSCAFT00000020041
