WNK2	ENST00000297954	ENSCAFT00000042749
ARRDC2	ENST00000222250	ENSCAFT00000023957
CNN1	ENST00000252456	ENSCAFT00000027457
IL1RAP	ENST00000072516	ENSCAFT00000022259
CATSPERD	ENST00000381624	ENSCAFT00000029784
SWT1	ENST00000367500	ENSCAFT00000050159
GADD45G	ENST00000252506	ENSCAFT00000085080
GALR1	ENST00000299727	ENSCAFT00000000022
TCTE1	ENST00000371505	ENSCAFT00000003144
ATF6B	ENST00000293709	ENSCAFT00000001189
GTPBP2	ENST00000307126	ENSCAFT00000003040
TDRD5	ENST00000294848	ENSCAFT00000021935
ANAPC15	ENST00000227618	ENSCAFT00000009317
BNIPL	ENST00000368931	ENSCAFT00000019664
BAG6	ENST00000361076	ENSCAFT00000000906
C1QTNF5	ENST00000528368	ENSCAFT00000043825
ZNF641	ENST00000301042	ENSCAFT00000014313
MAP3K6	ENST00000357582	ENSCAFT00000019323
PSEN1	ENST00000324501	ENSCAFT00000026626
TNNT2	ENST00000236918	ENSCAFT00000045480
ZSWIM5	ENST00000359600	ENSCAFT00000037120
PIM2	ENST00000376509	ENSCAFT00000024835
ATP11A	ENST00000375645	ENSCAFT00000063435
HSD17B12	ENST00000278353	ENSCAFT00000010796
GTF2B	ENST00000370500	ENSCAFT00000032192
OR3A1	ENST00000323404	ENSCAFT00000081193
COL14A1	ENST00000297848	ENSCAFT00000073925
RIDA	ENST00000254878	ENSCAFT00000044653
FZD5	ENST00000295417	ENSCAFT00000021490
RPP40	ENST00000380051	ENSCAFT00000078953
SECISBP2	ENST00000375807	ENSCAFT00000073518
CYP7B1	ENST00000310193	ENSCAFT00000088180
ACOT11	ENST00000371316	ENSCAFT00000030224
MRPL10	ENST00000351111	ENSCAFT00000026601
C7	ENST00000313164	ENSCAFT00000029541
GDNF	ENST00000326524	ENSCAFT00000043302
CAPNS1	ENST00000246533	ENSCAFT00000046003
ADM	ENST00000278175	ENSCAFT00000012064
ALAD	ENST00000409155	ENSCAFT00000005204
KCNV2	ENST00000382082	ENSCAFT00000003213
MARCHF3	ENST00000308660	ENSCAFT00000086987
POLB	ENST00000265421	ENSCAFT00000008893
SIX6	ENST00000327720	ENSCAFT00000024751
SP4	ENST00000222584	ENSCAFT00000004209
NEDD4	ENST00000508342	ENSCAFT00000025378
GFI1B	ENST00000339463	ENSCAFT00000031630
COL5A2	ENST00000374866	ENSCAFT00000023545
GLDC	ENST00000321612	ENSCAFT00000080690
LHX5	ENST00000261731	ENSCAFT00000014514
MAPKAPK5	ENST00000551404	ENSCAFT00000013864
NUAK1	ENST00000261402	ENSCAFT00000046483
STARD10	ENST00000334805	ENSCAFT00000074070
TIA1	ENST00000433529	ENSCAFT00000005363
LURAP1L	ENST00000319264	ENSCAFT00000045872
RGS20	ENST00000297313	ENSCAFT00000064363
MBD3L1	ENST00000305625	ENSCAFT00000028815
ARHGAP10	ENST00000336498	ENSCAFT00000047457
HAP1	ENST00000310778	ENSCAFT00000025224
NTF3	ENST00000331010	ENSCAFT00000024266
ASCL4	ENST00000342331	ENSCAFT00000044532
ZSWIM6	ENST00000252744	ENSCAFT00000011484
SH2D5	ENST00000444387	ENSCAFT00000023857
NOL8	ENST00000442668	ENSCAFT00000003644
NXF1	ENST00000294172	ENSCAFT00000024759
MYLK	ENST00000360304	ENSCAFT00000085465
KIAA0513	ENST00000258180	ENSCAFT00000036937
PDZD2	ENST00000438447	ENSCAFT00000047348
SLFN14	ENST00000415846	ENSCAFT00000029024
GOLIM4	ENST00000470487	ENSCAFT00000083378
SLC9A3R1	ENST00000262613	ENSCAFT00000007411
APOM	ENST00000375916	ENSCAFT00000000924
JAM3	ENST00000299106	ENSCAFT00000086923
KCTD1	ENST00000317932	ENSCAFT00000049733
UBASH3B	ENST00000284273	ENSCAFT00000018619
CAD	ENST00000264705	ENSCAFT00000049604
RPGRIP1L	ENST00000379925	ENSCAFT00000015079
RPTOR	ENST00000306801	ENSCAFT00000009182
WNT8A	ENST00000398754	ENSCAFT00000061545
ZNF75D	ENST00000370766	ENSCAFT00000035968
ITIH2	ENST00000358415	ENSCAFT00000008165
ATP6V1B1	ENST00000234396	ENSCAFT00000005559
ALDH16A1	ENST00000293350	ENSCAFT00000005871
GAL	ENST00000265643	ENSCAFT00000017134
SEC31B	ENST00000370345	ENSCAFT00000015388
BAZ2A	ENST00000551812	ENSCAFT00000049267
RNF214	ENST00000300650	ENSCAFT00000020823
PTPDC1	ENST00000375360	ENSCAFT00000003500
SHOX	ENST00000381578	ENSCAFT00000017459
TPK1	ENST00000360057	ENSCAFT00000069525
CDH12	ENST00000382254	ENSCAFT00000030227
MPPE1	ENST00000588072	ENSCAFT00000029844
SFRP1	ENST00000220772	ENSCAFT00000045729
FCER2	ENST00000346664	ENSCAFT00000085063
CD9	ENST00000009180	ENSCAFT00000079036
ADGRF5	ENST00000265417	ENSCAFT00000077861
HSPH1	ENST00000320027	ENSCAFT00000075809
MYH9	ENST00000216181	ENSCAFT00000076480
TMEM131L	ENST00000409663	ENSCAFT00000048278
GYS2	ENST00000261195	ENSCAFT00000019423
SGO2	ENST00000357799	ENSCAFT00000046092
MYOZ2	ENST00000307128	ENSCAFT00000019736
FAM81A	ENST00000288228	ENSCAFT00000026382
AKT1S1	ENST00000344175	ENSCAFT00000005591
NAGA	ENST00000396398	ENSCAFT00000001524
OVOL3	ENST00000585332	ENSCAFT00000010651
EFNB3	ENST00000226091	ENSCAFT00000069246
AHCYL1	ENST00000369799	ENSCAFT00000031484
ADGB	ENST00000397944	ENSCAFT00000000533
ACTR6	ENST00000188312	ENSCAFT00000010817
PCNX4	ENST00000406854	ENSCAFT00000065321
PHB2	ENST00000535923	ENSCAFT00000079737
AHNAK	ENST00000378024	ENSCAFT00000048755
ANAPC10	ENST00000309439	ENSCAFT00000012112
CTCFL	ENST00000243914	ENSCAFT00000019144
PDZD11	ENST00000239666	ENSCAFT00000075191
EXOC4	ENST00000253861	ENSCAFT00000002031
ZSWIM3	ENST00000255152	ENSCAFT00000015515
SEMA6A	ENST00000343348	ENSCAFT00000073393
RCAN2	ENST00000330430	ENSCAFT00000047949
FOXP2	ENST00000350908	ENSCAFT00000082802
PRSS55	ENST00000328655	ENSCAFT00000012924
TMEM18	ENST00000281017	ENSCAFT00000072283
CHST10	ENST00000264249	ENSCAFT00000003508
LDLRAD2	ENST00000344642	ENSCAFT00000023461
LIPT2	ENST00000310109	ENSCAFT00000008838
CINP	ENST00000216756	ENSCAFT00000071009
BUB1B	ENST00000287598	ENSCAFT00000014186
ANHX	ENST00000419717	ENSCAFT00000009502
NXPH1	ENST00000405863	ENSCAFT00000039241
UBR2	ENST00000372899	ENSCAFT00000002679
MSLNL	ENST00000442466	ENSCAFT00000031179
KCNA2	ENST00000316361	ENSCAFT00000031442
BDH1	ENST00000358186	ENSCAFT00000078371
TTC34	ENST00000401095	ENSCAFT00000030960
CIR1	ENST00000342016	ENSCAFT00000091199
RHOG	ENST00000351018	ENSCAFT00000009497
COPS6	ENST00000303904	ENSCAFT00000023512
ELP6	ENST00000296149	ENSCAFT00000020913
MOG	ENST00000376917	ENSCAFT00000019345
TOMM34	ENST00000372813	ENSCAFT00000072652
B4GALNT2	ENST00000300404	ENSCAFT00000026768
DIABLO	ENST00000443649	ENSCAFT00000012678
PMS1	ENST00000441310	ENSCAFT00000071601
HOXC12	ENST00000243103	ENSCAFT00000010710
PDZD8	ENST00000334464	ENSCAFT00000019008
DNA2	ENST00000358410	ENSCAFT00000021752
FSTL4	ENST00000265342	ENSCAFT00000001498
SNRNP70	ENST00000598441	ENSCAFT00000005969
SPEM2	ENST00000333870	ENSCAFT00000025841
SRI	ENST00000265729	ENSCAFT00000046733
EIF1AX	ENST00000379607	ENSCAFT00000060617
DYNC1LI1	ENST00000273130	ENSCAFT00000083155
DCAF7	ENST00000431926	ENSCAFT00000020578
FGR	ENST00000374003	ENSCAFT00000019186
ATP6V0D2	ENST00000285393	ENSCAFT00000013922
CNN3	ENST00000370206	ENSCAFT00000060303
KPNA1	ENST00000344337	ENSCAFT00000018942
DUSP12	ENST00000367943	ENSCAFT00000064115
BUD23	ENST00000265758	ENSCAFT00000020540
C3	ENST00000245907	ENSCAFT00000029568
COP1	ENST00000367669	ENSCAFT00000088082
RPS18	ENST00000211372	ENSCAFT00000079096
XRCC4	ENST00000338635	ENSCAFT00000075262
KCNK7	ENST00000340313	ENSCAFT00000021299
RIPK1	ENST00000259808	ENSCAFT00000014829
SUCLG2	ENST00000307227	ENSCAFT00000010726
SCUBE1	ENST00000360835	ENSCAFT00000001404
DOCK3	ENST00000266037	ENSCAFT00000016280
OOEP	ENST00000370359	ENSCAFT00000038122
TMEM259	ENST00000356663	ENSCAFT00000047485
TUSC3	ENST00000503731	ENSCAFT00000079270
CNGB3	ENST00000320005	ENSCAFT00000014134
KIAA0586	ENST00000619416	ENSCAFT00000084266
PDCD2	ENST00000541970	ENSCAFT00000044324
ARHGEF25	ENST00000286494	ENSCAFT00000000393
